state,district,category,type,crimes,year
Johor,Iskandar Puteri,property,theft_vehicle_lorry,36,2019
Johor,Iskandar Puteri,property,theft_vehicle_lorry,11,2020
Johor,Iskandar Puteri,property,theft_vehicle_lorry,6,2021
Johor,Iskandar Puteri,property,theft_vehicle_lorry,5,2022
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,0,2016
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,130,2017
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,138,2018
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,131,2019
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,122,2020
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,56,2021
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,54,2022
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,0,2016
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,337,2017
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,403,2018
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,313,2019
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,172,2020
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,88,2021
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,95,2022
Johor,Johor Bahru Selatan,assault,all,977,2016
Johor,Johor Bahru Selatan,assault,all,956,2017
Johor,Johor Bahru Selatan,assault,all,474,2018
Johor,Johor Bahru Selatan,assault,all,429,2019
Johor,Johor Bahru Selatan,assault,all,226,2020
Johor,Johor Bahru Selatan,assault,all,150,2021
Johor,Johor Bahru Selatan,assault,all,213,2022
Johor,Johor Bahru Selatan,assault,causing_injury,200,2016
Johor,Johor Bahru Selatan,assault,causing_injury,170,2017
Johor,Johor Bahru Selatan,assault,causing_injury,115,2018
Johor,Johor Bahru Selatan,assault,causing_injury,126,2019
Johor,Johor Bahru Selatan,assault,causing_injury,67,2020
Johor,Johor Bahru Selatan,assault,causing_injury,62,2021
Johor,Johor Bahru Selatan,assault,causing_injury,45,2022
Johor,Johor Bahru Selatan,assault,murder,15,2016
Johor,Johor Bahru Selatan,assault,murder,23,2017
Johor,Johor Bahru Selatan,assault,murder,9,2018
Johor,Johor Bahru Selatan,assault,murder,10,2019
